Ultiboard Information Export File,,,,
,,,,
Design Name  : AR_uc38f6c63a5677f - _uc3675065995355,,,,
Report Date  : 30 January 2022,,,,
Report Time  : 16:44,,,,
--------------------------------------------------------------------------------,,,,
,,,,
VALUE,#,REFDES,PACKAGE,TYPE
,,,,
1kOhm,2,"R9,R10",IPC-7351\Chip-R0201,1% 0.075W
1uF,2,"C1,C7",IPC-7351\Chip-C0402,GRM155Z71A105KE01D
2x10Pin 1.27 Headers,1,U8,Ultiboard\2*10Pin 1.27 Headers,2*10Pin 1.27¼ä¾àÅÅ×ù
10kOhm,1,R15,IPC-7351\Chip-R0201,1% 0.075W
10nF,2,"C2,C8",IPC-7351\Chip-C0402,C0402C103J8RAL7867
10uF,3,"C3,C9,C13",IPC-7351\Chip-C0603,ZRB18AD71A106KE01L
15kOhm,2,"R2,R5",IPC-7351\Chip-R0201,0.1% 0.075W
16.2kOhm,1,R1,IPC-7351\Chip-R0201,0.1% 0.075W
22uF,2,"C10,C11",IPC-7351\Chip-C0603,10V X7T
24.9kOhm,1,R7,IPC-7351\Chip-R0201,0.1% 0.075W
42.2kOhm,1,R6,IPC-7351\Chip-R0201,0.1% 0.075W
100nF,8,"C12,C14,C15,C16,C17,C18,C19,C20",IPC-7351\Chip-C0402,LMF105B7104KVHF
200kOhm,4,"R8,R11,R13,R14",IPC-7351\Chip-R0201,1% 0.075W
505066-1422,1,U9,Ultiboard\505066-1422,14Pin+2PÁ¬½ÓÆ÷
MP1400,1,U5,Texas Instruments\DSBGA-8(YFX 0.855x1.640),
LP38798SD-ADJ/NOPB,2,"U2,U4",Texas Instruments\WSON-12-13(DNT),
MC2520Z8.00000C19XSH,1,U10,Ultiboard\MC2520Z,
MLX90640,1,U6,Ultiboard\MLX90640,
SB20-03P,1,U7,Ultiboard\SOT 89 SB20-03P,
SRP0320-4R7K,1,L1,Ultiboard\SRP0320,
TXS0108E-Q1,1,U1,Ultiboard\TSSOP 20 TXS0108E-Q1,
